Direccion,Barrio,Latitud,Longitud,Tipo_vivienda,Dproymes,Localidad,Cod_proyecto,Proyecto
Cr. 92 # 149-30,Campiña,-74.084031789,4.744767632999981,No VIS,Abril,Suba,20275,Colinas de Suba
Cr. 7 # 126-30,Pinar de Santa Bárbara,-74.02802187499998,4.70164592499998,No VIS,Abril,Usaquén,30712,Reserva de la Sierra
Tv. 19A # 96-56,Chicó,-74.05372283700001,4.684059235999996,No VIS,Abril,Chapinero,30959,Oqyana
Av. Suba con 119,Córdoba,-74.06731719300001,4.706891700000028,No VIS,Abril,Suba,31238,Provenza Imperial
Cl. 94 # 21-59,Chicó,-74.05680000000001,4.681600000999992,No VIS,Abril,Chapinero,31422,Art 94
Cl. 140 # 20-35,Nueva Autopista,-74.04842990399999,4.723576288000004,No VIS,Abril,Usaquén,31428,Axxes 140
Cl. 133 # 19-59,Calleja,-74.04785259200003,4.716581559000019,No VIS,Abril,Usaquén,31451,Area 19
Cl. 92 # 14-23,Chicó,-74.05211965799998,4.675262345000022,No VIS,Abril,Chapinero,31486,Massilia
Cl. 88 # 13-25,Cabrera,-74.05249352599998,4.671882692999986,No VIS,Abril,Chapinero,31502,El Palco
Cr. 7 # 93-20,Chicó,-74.04277628300002,4.672594224000022,No VIS,Abril,Chapinero,31567,Vitrum
Cl. 139 # 96A-35,Suba,-74.09149982500003,4.738624416999983,No VIS,Abril,Suba,31588,Altos de San Jorge
Cl. 153 # 109B-18,Las Mercedes,-74.09460000000001,4.757499999999993,No VIS,Abril,Suba,31591,Bosque de Tulipanes
Cl. 121 # 3A-20,Pinar de Santa Bárbara,-74.02656373899998,4.694707497000024,No VIS,Abril,Usaquén,31613,Cerros de los Alpes III
Cr. 8 # 127A-01,Bella Suiza,-74.03230850199998,4.704517490000001,No VIS,Abril,Usaquén,31629,Parque BS
Dg. 72 # 1-52 Este,Rosales,-74.0507,4.653100000999984,No VIS,Abril,Chapinero,31635,Lumini
Tv. 5 # 86-91,Rosales,-74.045077348,4.666379317999997,No VIS,Abril,Chapinero,31651,Cenit de la Cabrera
Cl. 126D # 104-01,Corinto,-74.10236385500002,4.728369578000013,No VIS,Abril,Suba,31669,Mirador Corinto Reservado
Cr. 14A # 109-81,Santa Paula,-74.04329346899999,4.692775099000016,No VIS,Abril,Usaquén,31670,Jade Plus
Cl. 92 # 17-31,Chicó,-74.05432685900001,4.67652770799998,No VIS,Abril,Chapinero,31675,La Toscana
Cl. 85 # 7-16,Chicó,-74.04687568999998,4.665528699999982,No VIS,Abril,Chapinero,31679,Icon Cabrera
Cr. 16 # 93-21,Chicó,-74.05266608800002,4.677706435999994,No VIS,Abril,Chapinero,31680,Balcony 93-16
Cr. 17 # 93A-38,Chicó,-74.05260264600003,4.678591212000015,No VIS,Abril,Chapinero,31690,Orvieto
Cr. 14A # 127A-36,La Carolina,-74.04148676,4.706117703000018,No VIS,Abril,Usaquén,31702,Marankal
Cr. 13 # 119-71,Santa Bárbara,-74.04003187400002,4.699936650999973,No VIS,Abril,Usaquén,31711,Laya 119
Cl. 128B # 19-40,Calleja,-74.048292517,4.713369419000003,No VIS,Abril,Usaquén,31718,Saint Thomas
Cl. 105 # 19A-74,Chicó Navarra,-74.05304674199999,4.692611192000015,No VIS,Abril,Usaquén,31722,Platino Park 105
Cl. 97 # 21-23,Chicó,-74.05543589400003,4.683992236999984,No VIS,Abril,Chapinero,31730,Botanika Otium
Cl. 108 # 45A-51,Pasadena,-74.05673340999999,4.695272520999993,No VIS,Abril,Suba,31738,Akantos 108
Cr. 18 # 84-56,Antiguo Country,-74.05701765700002,4.670283797000025,No VIS,Abril,Chapinero,31748,Country 85
Cl. 88 # 7A-25,Cabrera,-74.04629997799998,4.668957825000007,No VIS,Abril,Chapinero,31749,88 x 8
Cr. 11BBis # 118-97,Santa Bárbara,-74.03755468999998,4.698092445999976,No VIS,Abril,Usaquén,31756,Lerén 118
Cr. 51 # 102A-64,Pasadena,-74.061820378,4.690875493000021,No VIS,Abril,Suba,31758,Fenicia Apartamentos
Cr. 23 # 103A-31,Chicó Navarra,-74.05329393,4.701725051999972,No VIS,Abril,Usaquén,31768,Mint 1
Cl. 121 # 47-56,El Batán,-74.057323392,4.702911546999985,No VIS,Abril,Suba,31769,Villa Pau III
Cr. 7C # 138-60,Belmira,-74.03096415599998,4.716630733999978,No VIS,Abril,Usaquén,31773,Altos de Belmira
Cr. 7 # 81-26,Cabrera,-74.048952026,4.662359444999993,No VIS,Abril,Chapinero,31776,Metropolitano
Cr. 9Bis # 97-20,Chicó,-74.04253080000001,4.678840939999986,No VIS,Abril,Chapinero,31778,Prato
Cr. 13A # 109-97,Santa Paula,-74.042187388,4.692166310000005,No VIS,Abril,Usaquén,31782,Aituria 109
Cl. 98 # 19A-21,Chicó,-74.05351792200003,4.684858626999983,No VIS,Abril,Chapinero,31783,Artek 98
Cl. 92 # 14-11,Chicó,-74.05189836400001,4.675246963000006,No VIS,Abril,Chapinero,31789,Novo 92
Cr. 7A # 122-09,Santa Bárbara,-74.03122214500002,4.698630008999999,No VIS,Abril,Usaquén,31790,Maralta
Dg. 76 # 1-45,Rosales,-74.05005931800002,4.655210821000026,No VIS,Abril,Chapinero,31791,Solhe
Cl. 114A # 15-63,Santa Bárbara,-74.04396651500002,4.695482202999983,No VIS,Abril,Usaquén,31795,Urban - Atenea
Cr. 15 # 127A-26,La Carolina,-74.04229718800002,4.707068255000024,No VIS,Abril,Usaquén,31797,Nou La Carolina
Cl. 134 # 19A-46,Nueva Autopista,-74.048549068,4.718698029999985,No VIS,Abril,Usaquén,31799,KD Essential
Cl. 92 # 16-30,Chicó,-74.05352566200003,4.676867496999989,No VIS,Abril,Chapinero,31803,Liquidambar
Cr. 1 Este # 76A-36,Rosales,-74.04797733200002,4.656177070000012,No VIS,Abril,Chapinero,31816,Balcony 76A
Cr. 11B # 98-36,Chicó,-74.04521980599998,4.681880749000015,No VIS,Abril,Chapinero,31826,Area 98
Cr. 18A # 134A-17,Contador,-74.04629378300001,4.719147652000004,No VIS,Abril,Usaquén,31827,Salvatore Apartamentos
Av. Cl. 145 # 119A-58,Córdoba,-74.07038009799999,4.707294733000026,No VIS,Abril,Suba,31831,Provenza Prestige
Cl. 92 # 7A-04,Chicó,-74.044309569,4.672009125999978,No VIS,Abril,Chapinero,31833,92 x 7
Cl. 105A # 14-76,Santa Paula,-74.04571773999999,4.689560848999974,No VIS,Abril,Usaquén,31835,Zarkis
Cl. 96 # 19A-80,Chicó,-74.05442057300002,4.683828769999991,No VIS,Abril,Chapinero,31841,Jai 96 Aptos
Cr. 23 # 137-04,Nueva Autopista,-74.05064883300003,4.72158542599999,No VIS,Abril,Usaquén,31842,Bella Terra
Cr. 50 # 106-69,Pasadena,-74.060708815,4.695854467000004,No VIS,Abril,Suba,31843,Pasadena 106
Cl. 95 # 21-80,Chicó,-74.05599583700001,4.683275250000008,No VIS,Abril,Chapinero,31846,Urban K
Av. Cr. 9 # 104-43,Santa Paula,-74.04383055800002,4.687818585999992,No VIS,Abril,Usaquén,31847,Davidia 104
Cr. 14 # 117-14,Santa Bárbara,-74.04051840900001,4.696824973999981,No VIS,Abril,Usaquén,31849,Sakura
Cr. 19A # 86A-16,Antiguo Country,-74.05720000000002,4.673000000000002,No VIS,Abril,Chapinero,31850,Kubik Virrey IV
Cr. 11 # 93A-38,Chicó,-74.04638827899998,4.676039292999974,No VIS,Abril,Chapinero,31851,Canvas
Cl. 153 # 103B-76,Suba Salitre,-74.09170752699998,4.754518436000012,No VIS,Abril,Suba,31854,Pinar Plaza
Cl. 101 # 16-47,San Patricio,-74.04956533000001,4.686275707999982,No VIS,Abril,Usaquén,31857,Equilibrium 101
Cr. 7 # 155-80,Barrancas,-74.02317999000002,4.730743548000021,No VIS,Abril,Usaquén,31860,North Point House
Cr. 20 # 120-50,Santa Bárbara,-74.05093305000003,4.701420385000006,No VIS,Abril,Usaquén,31861,Vìú Park
Cl. 134Bis # 17-62,Contador,-74.0453,4.718099999999993,No VIS,Abril,Usaquén,31862,Country 134
Cl. 102A # 46-12,Santa Margarita,-74.05844096599998,4.68958255199999,No VIS,Abril,Suba,31863,Rigel
Cl. 128 # 7E- 40,Bella Suiza,-74.0324,4.709799998999984,No VIS,Abril,Usaquén,31865,Catalonia en Bella Suiza
Cl. 104A # 47A-06,Santa Margarita,-74.05891270400002,4.692443942000011,No VIS,Abril,Suba,31866,Essena Park
Cr. 7ABis # 124-60,Santa Bárbara,-74.0299,4.700800000000015,No VIS,Abril,Usaquén,31870,Studio 124 Home Office
Cr. 7A # 130-47,Bella Suiza,-74.02943739599999,4.708942026999978,No VIS,Abril,Usaquén,31871,Orbba 130
Cl. 137B # 104-35,Suba Compartir,-74.099200231,4.740607405999981,No VIS,Abril,Suba,31873,Ikará
Cl. 80 # 7-29,Cabrera,-74.05009999999999,4.661999999999978,No VIS,Abril,Chapinero,31875,Neos Nogal
Cl. 108 # 17A-18,San Patricio,-74.04828396800002,4.693551821000028,No VIS,Abril,Usaquén,31877,Kausary
Cl. 134C # 12B-36,Lisboa,-74.04059266899998,4.716370520999988,No VIS,Abril,Usaquén,31879,Antique Reservado
Cr. 15A # 124-22,Santa Bárbara,-74.04347220099999,4.702368336000006,No VIS,Abril,Usaquén,31880,Buonvivere 124
Cr. 22 # 137-71,Nueva Autopista,-74.04939999999999,4.723300000999984,No VIS,Abril,Usaquén,31881,Area 137
Cr. 17A # 122-97,Santa Bárbara,-74.04632444100002,4.702280363,No VIS,Abril,Usaquén,31883,Venetto
Cr. 19 # 93-53,Chicó,-74.05470000000003,4.678699999999992,No VIS,Abril,Chapinero,31886,Macedonia
Cl. 108 # 17A-45,San Patricio,-74.048159151,4.693833720999976,No VIS,Abril,Usaquén,31889,108 Green Park
Cl. 134A # 10A-11,Lisboa,-74.03688133399999,4.716872505000026,No VIS,Abril,Usaquén,31894,Dika
Cr. 16 # 136-60,Contador,-74.04451821100002,4.718717242000025,No VIS,Abril,Usaquén,31895,Black 136
Cr. 19 # 85-53,Antiguo Country,-74.05721592700002,4.672008488000017,No VIS,Abril,Chapinero,31903,Balcony 85
Cl. 95 # 20-28,Chicó,-74.05491464300002,4.682454625999981,No VIS,Abril,Chapinero,31904,Casa Chicó
Cr. 21 # 118-34,Santa Bárbara,-74.05029848800001,4.700444711999978,No VIS,Abril,Usaquén,31907,Edificio Calabria
Cr. 19A # 134-55,Nueva Autopista,-74.04823807499997,4.718942081000023,No VIS,Abril,Usaquén,31909,Dual 134 House
Cr. 18 # 93A-18,Chicó,-74.05336500300001,4.678889163000008,No VIS,Abril,Chapinero,31911,Balcony 93-18
Cr. 19B # 85-63,Antiguo Country,-74.05822371699998,4.672614911999972,No VIS,Abril,Chapinero,31915,DC
Cl. 135C # 13-40,Lisboa,-74.04114434799999,4.718757738000022,No VIS,Abril,Usaquén,31917,Kauri 135
Tv. 5 # 87-42,Rosales,-74.04489999999998,4.667099999000016,No VIS,Abril,Chapinero,31922,Edificio Porta
Cl. 82 # 6-13,Rosales,-74.04840000000002,4.662399999999991,No VIS,Abril,Chapinero,31923,Antia
Cr. 7B # 146-20,Belmira,-74.02820000000003,4.722100001000001,No VIS,Abril,Usaquén,31924,Novo 146
Tv. 21 # 122-81,Santa Bárbara,-74.05160000000001,4.703800000000001,No VIS,Abril,Usaquén,31926,Balcones de Jericó
Cl. 131A # 19-49,Calleja,-74.04840000000002,4.715500001000009,No VIS,Abril,Usaquén,31927,Kioto
Cr. 23 # 103-87,Chicó Navarra,-74.055678516,4.69026359999998,No VIS,Abril,Usaquén,31929,Klee 103
Cl. 95 # 19A-09,Chicó,-74.053902591,4.682526134999989,No VIS,Abril,Chapinero,31935,Akai 95
Cl. 79B # 4-23,Nogal,-74.04857362299998,4.660627393000027,No VIS,Abril,Chapinero,31937,Serrania de los Nogales
Cl. 106 # 17-35,San Patricio,-74.04811858800002,4.692096232999972,No VIS,Abril,Usaquén,31938,Torre 106
Cr. 49B # 102A-37,Pasadena,-74.06329543999999,4.690877424999996,No VIS,Abril,Suba,31940,Torre de San Simon
Cl. 106 # 19A-89,Chicó Navarra,-74.053127975,4.693410621999988,No VIS,Abril,Usaquén,31942,Vasily 106
Cr. 19A # 106A-30,Chicó Navarra,-74.05130000000003,4.693899999999985,No VIS,Abril,Usaquén,31943,Edificio Domus
Cl. 145A # 16A-13,Cedritos,-74.043012664,4.727221735,No VIS,Abril,Usaquén,31944,Cedro Alto II
Cr. 16 # 143-85,Cedritos,-74.042179884,4.725551707000022,No VIS,Abril,Usaquén,31945,Via al Cedro V
Cl. 125 # 17A-03,Santa Bárbara,-74.04590000000002,4.703800000000001,No VIS,Abril,Usaquén,31946,Element 125
Cr. 20 # 137-68,Nueva Autopista,-74.04790000000003,4.723500000000001,No VIS,Abril,Usaquén,31948,Osahar II
Cr. 54 # 105-08,Puente Largo,-74.06324563499999,4.694123772000012,No VIS,Abril,Suba,31951,Nesoi
Cr. 10 # 134B-10,Lisboa,-74.03422649800001,4.714671806000013,No VIS,Abril,Usaquén,31952,Oporto Aptos
Av. Cr. 9 # 117A-21,Santa Bárbara,-74.03410000000002,4.695400000000006,No VIS,Abril,Usaquén,31954,Ipcua
Cr. 13A # 127-50,La Carolina,-74.03974844499999,4.705475884000009,No VIS,Abril,Usaquén,31955,Albatross
Cl. 124 # 18-43,Santa Bárbara,-74.04717345799997,4.703318287999991,No VIS,Abril,Usaquén,31956,De Cambil 124
Cl. 87 # 12-55,Cabrera,-74.05184000399998,4.671000787000025,No VIS,Abril,Chapinero,31957,Trento
Cl. 104 # 58A-22,Puente Largo,-74.06525278100003,4.691896677999978,No VIS,Abril,Suba,31958,La Palma
Cl. 121 # 45A-31,El Batán,-74.05602630099997,4.702347922999991,No VIS,Abril,Suba,31959,Protos
Cl. 118 # 21-05,Santa Bárbara,-74.05236921699998,4.699716377000016,No VIS,Abril,Usaquén,31960,Habitat 118
Cr. 20 # 127A-05,Calleja,-74.05058189300001,4.707938273000025,No VIS,Abril,Usaquén,31961,Maleiwa Park
Tv. 3 # 84-73,Rosales,-74.04840000000002,4.663200000000018,No VIS,Abril,Chapinero,31962,ULB Gold
Cl. 103 # 14-21,Santa Paula,-74.047942487,4.68724049299999,No VIS,Abril,Usaquén,31963,High Park
Cr. 15 # 136-35,Contador,-74.04349120799998,4.720659656999999,No VIS,Abril,Usaquén,31964,Maré
Cl. 103A # 47A-14,Santa Margarita,-74.06113522700002,4.690761271999975,No VIS,Abril,Suba,31965,Balcony 103
Cl. 87 # 19-09,Antiguo Country,-74.05647342399999,4.673475119999978,No VIS,Abril,Chapinero,31966,Virrey 87 /19
Cr. 50 # 106-17,Pasadena,-74.06086493700002,4.694889905000025,No VIS,Abril,Suba,31968,Portal 50.2
Cl. 92 # 5-25,Chicó,-74.04287716699997,4.671800650000023,No VIS,Abril,Chapinero,31971,Edificio 5-93
Cl. 140 # 22-23,Nueva Autopista,-74.04954314600002,4.723764082000002,No VIS,Abril,Usaquén,31972,Kavala Stanza
Cl. 103 # 14-34,Santa Paula,-74.05539923399999,4.672288475000016,No VIS,Abril,Chapinero,31975,Capital Lofts
Cl. 110 # 15-36,San Patricio,-74.04487960199998,4.694015956999976,No VIS,Abril,Usaquén,31976,Natúa 110
Cr. 51 # 103B-53,Pasadena,-74.062075306,4.692025075000004,No VIS,Abril,Suba,31977,Umbracle Pasadena
Cl. 126 # 46-25,El Batán,-74.05603552399998,4.706418901999996,No VIS,Abril,Suba,31978,Torrearte
Cl. 84 # 8-48,Cabrera,-74.04901188600002,4.665625324000018,No VIS,Abril,Chapinero,31980,Octava
Cr. 16 # 110-60,San Patricio,-74.045566474,4.694613436999987,No VIS,Abril,Usaquén,31986,Casa Artek
Cr. 10B # 134A-21,Lisboa,-74.03606137899999,4.714876881999999,No VIS,Abril,Usaquén,31987,Lisboa Real
Cr. 14A # 118-81,Santa Bárbara,-74.04168108699997,4.697903273000008,No VIS,Abril,Usaquén,31989,Torre Sakai
Cr. 21 # 135-60,Nueva Autopista,-74.04896892800002,4.720713112999988,No VIS,Abril,Usaquén,31992,Jaén Aptos
Cr. 16 # 95-14,Chicó,-74.05020641599998,4.681434318000015,No VIS,Abril,Chapinero,31993,16-95 Apartamentos
Cr. 18 # 122-44,Santa Bárbara,-74.04669453499997,4.701875416999997,No VIS,Abril,Usaquén,31994,Area 122
Cr. 11B # 135C-45,Lisboa,-74.03881230899998,4.716696164999974,No VIS,Abril,Usaquén,31995,Rincón de Antigua
Cr. 14B # 112-45,Santa Bárbara,-74.04277067999999,4.695194721000007,No VIS,Abril,Usaquén,31997,Arona
Cr. 9 # 104A-39,Santa Paula,-74.04340889000002,4.688109967000003,No VIS,Abril,Usaquén,31998,Luminium
Cl. 127 # 7-71,Santa Bárbara,-74.029333683,4.701923188000023,No VIS,Abril,Usaquén,31999,Uptown 127
Cl. 103 # 15-60,Chicó Navarra,-74.04797818399999,4.688421714000015,No VIS,Abril,Usaquén,32000,103 Senior Living
Cr. 12 # 113-23,Santa Bárbara,-74.03976760299997,4.693834046000006,No VIS,Abril,Usaquén,32001,Bosque Alto
Cr. 15A # 118-73,Santa Bárbara,-74.04411642500003,4.698319422999987,No VIS,Abril,Usaquén,32003,C 118
Tv. 58 # 106-41,Puente Largo,-74.066414764,4.694132210000021,No VIS,Abril,Suba,32004,Ciento Seis 41..
Cl. 100 # 50- 80,Pasadena,-74.06248934500002,4.689011729000015,No VIS,Abril,Suba,32005,Ciien
Cr. 7A # 130-07,Bella Suiza,-74.029419959,4.708570201999976,No VIS,Abril,Usaquén,32007,Reserva de Ginebra
Cr. 18 # 93-15,Chicó,-74.05417489000001,4.678198568000028,No VIS,Abril,Chapinero,32010,Area 93
Cr. 48 # 124-69,El Batán,-74.05742014499998,4.705859760999999,No VIS,Abril,Suba,32011,San Pedro del Batán
Cr. 14A # 103-92,Santa Paula,-74.04595626899999,4.688181070999974,No VIS,Abril,Usaquén,32012,City Live 104
Cr. 18A # 137-73,Contador,-74.04577080299998,4.722690643000021,No VIS,Abril,Usaquén,32013,Mandala 140
Cr. 50A # 122-11,El Batán,-74.05952353599997,4.703923783999983,No VIS,Abril,Suba,32014,Miyazu 122
Cr. 1 # 78-21 Este,Rosales,-74.04758867599998,4.657911381000019,No VIS,Abril,Chapinero,32015,Icono 77 - Rosales
Cl. 112 # 1-03,Santa Ana Oriental,-74.02797250600003,4.688510305000022,No VIS,Abril,Usaquén,32016,Edificio Amaya
Cl. 103 # 19-09,Chico Navarra,-74.051941817,4.688635164999994,No VIS,Abril,Usaquén,32017,Torre Impulsa
Cl. 127A # 18B-62,Calleja Alta,-74.04779900599999,4.707591912999988,No VIS,Abril,Usaquén,32018,127 Park
Cl. 122 # 22-25,Santa Bárbara,-74.05287013399999,4.702224879000028,No VIS,Abril,Usaquén,32020,Rissani
Tv. 23 # 95-79,Chicó,-74.056738472,4.683927427000015,No VIS,Abril,Chapinero,32021,96 Click
Cl. 116 # 18B-08,Santa Bárbara,-74.04864963099999,4.698700132999988,No VIS,Abril,Usaquén,32024,Vìú Park 118
Cr. 19 # 127-44,Calleja Alta,-74.04840291400001,4.706309386999976,No VIS,Abril,Usaquén,32025,Club House 127
Cr. 18 # 137-58,Cedritos,-74.04478548999998,4.722083877999978,No VIS,Abril,Usaquén,32026,KD Azul
Cr. 8A # 108A-19,Santa Ana Oriental,-74.03838939299999,4.689679658999978,No VIS,Abril,Usaquén,32027,Torre de la Stazione
Cr. 7BBis # 123-44,Santa Bárbara,-74.03164073300002,4.699640241999987,No VIS,Abril,Usaquén,32028,El Roble 124
Cl. 106A # 57-40,Puente Largo,-74.06635134499999,4.694768179999983,No VIS,Abril,Suba,32029,Edificio Millenium
Cl. 94 # 17-31,Chicó,-74.052500861,4.680082265999999,No VIS,Abril,Chapinero,32030,Benialt 94
Cr. 15 # 135-04,Nuevo Country,-74.04200162699999,4.717964041000016,No VIS,Abril,Usaquén,32031,Privatto
Cr. 54 # 106-15,Pasadena,-74.06355376099998,4.694939191999992,No VIS,Abril,Suba,32032,Nativo 106
